//Motor_Max=30.0,Motor_Min=-25.0,Battery_Max=30.0,Battery_Min=-12.0,Cutoff_Start=30.0,Cutoff_End=28.0,Temp_Start=85.0,Temp_End=100.0,Watt_Max=15000,Speed_Limit=25.0,Wheelsize=80,Motor_Teeth=15,Wheel_Teeth=36,Motor_Poles=14,Battery_Cells=10,Battery_Wh=300,Vesc_Count=2,Speed_Unit=0
Time,TempPcb,MotorCurrent,BatteryCurrent,DutyCycle,Speed,InpVoltage,AmpHours,AmpHoursCharged,WattHours,WattHoursCharged,Distance,Power,Fault,TimePassedInMs,Latitude,Longitude,Altitude,GPSSpeed
20_09_2022_15_43_52.052,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,40202,0.0,0.0,0.0,0.0
20_09_2022_15_43_52.201,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,40351,0.0,0.0,0.0,0.0
20_09_2022_15_43_52.389,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,40539,0.0,0.0,0.0,0.0
20_09_2022_15_43_52.578,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,40728,0.0,0.0,0.0,0.0
20_09_2022_15_43_52.763,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,40913,0.0,0.0,0.0,0.0
20_09_2022_15_43_52.914,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,41064,0.0,0.0,0.0,0.0
20_09_2022_15_43_53.102,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,41252,0.0,0.0,0.0,0.0
20_09_2022_15_43_53.289,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,41439,0.0,0.0,0.0,0.0
20_09_2022_15_43_53.476,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,41626,0.0,0.0,0.0,0.0
20_09_2022_15_43_53.626,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,41776,0.0,0.0,0.0,0.0
20_09_2022_15_43_53.814,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,41964,0.0,0.0,0.0,0.0
20_09_2022_15_43_54.001,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,42151,0.0,0.0,0.0,0.0
20_09_2022_15_43_54.190,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,42340,0.0,0.0,0.0,0.0
20_09_2022_15_43_54.338,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,42488,0.0,0.0,0.0,0.0
20_09_2022_15_43_54.527,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,42677,0.0,0.0,0.0,0.0
20_09_2022_15_43_54.714,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,42864,0.0,0.0,0.0,0.0
20_09_2022_15_43_54.901,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,43051,0.0,0.0,0.0,0.0
20_09_2022_15_43_55.051,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,43201,0.0,0.0,0.0,0.0
20_09_2022_15_43_55.239,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,43389,0.0,0.0,0.0,0.0
20_09_2022_15_43_55.426,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,43576,0.0,0.0,0.0,0.0
20_09_2022_15_43_55.613,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,43763,0.0,0.0,0.0,0.0
20_09_2022_15_43_55.764,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,43914,0.0,0.0,0.0,0.0
20_09_2022_15_43_55.989,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,44139,0.0,0.0,0.0,0.0
20_09_2022_15_43_56.138,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,44288,0.0,0.0,0.0,0.0
20_09_2022_15_43_56.326,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,44476,0.0,0.0,0.0,0.0
20_09_2022_15_43_56.476,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,44626,0.0,0.0,0.0,0.0
20_09_2022_15_43_56.664,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,44814,0.0,0.0,0.0,0.0
20_09_2022_15_43_56.852,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,45002,0.0,0.0,0.0,0.0
20_09_2022_15_43_57.038,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,45188,0.0,0.0,0.0,0.0
20_09_2022_15_43_57.527,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,45677,0.0,0.0,0.0,0.0
20_09_2022_15_43_57.676,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,45826,0.0,0.0,0.0,0.0
20_09_2022_15_43_57.864,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,46014,0.0,0.0,0.0,0.0
20_09_2022_15_43_58.051,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,46201,0.0,0.0,0.0,0.0
20_09_2022_15_43_58.238,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,46388,0.0,0.0,0.0,0.0
20_09_2022_15_43_58.388,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,46538,0.0,0.0,0.0,0.0
20_09_2022_15_43_58.578,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,46728,0.0,0.0,0.0,0.0
20_09_2022_15_43_58.763,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,46913,0.0,0.0,0.0,0.0
20_09_2022_15_43_58.951,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,47101,0.0,0.0,0.0,0.0
20_09_2022_15_43_59.101,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,47251,0.0,0.0,0.0,0.0
20_09_2022_15_43_59.289,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,47439,0.0,0.0,0.0,0.0
20_09_2022_15_43_59.476,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,47626,0.0,0.0,0.0,0.0
20_09_2022_15_43_59.663,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,47813,0.0,0.0,0.0,0.0
20_09_2022_15_43_59.814,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,47964,0.0,0.0,0.0,0.0
20_09_2022_15_44_00.001,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,48151,0.0,0.0,0.0,0.0
20_09_2022_15_44_00.189,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,48339,0.0,0.0,0.0,0.0
20_09_2022_15_44_00.376,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,48526,0.0,0.0,0.0,0.0
20_09_2022_15_44_00.526,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,48676,0.0,0.0,0.0,0.0
20_09_2022_15_44_00.715,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,48865,0.0,0.0,0.0,0.0
20_09_2022_15_44_00.901,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,49051,0.0,0.0,0.0,0.0
20_09_2022_15_44_01.127,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,49277,0.0,0.0,0.0,0.0
20_09_2022_15_44_01.314,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,49464,0.0,0.0,0.0,0.0
